event,date,location,r_fighter,b_fighter,status,r_kd,b_kd,r_str,b_str,r_td,b_td,r_sub,b_sub,weight_class,method,method_detailed,round,time
UFC 263: Adesanya vs. Vettori 2,6/12/2021,"Glendale, Arizona, USA",Movsar Evloev,Hakeem Dawodu,win,0,0,42,39,9,0,2,0,Featherweight,U-DEC,,3,5:00
UFC 263: Adesanya vs. Vettori 2,6/12/2021,"Glendale, Arizona, USA",Pannie Kianzad,Alexis Davis,win,0,0,124,132,0,1,0,0,Women's Bantamweight,U-DEC,,3,5:00
UFC 263: Adesanya vs. Vettori 2,6/12/2021,"Glendale, Arizona, USA",Terrance McKinney,Matt Frevola,win,1,0,4,0,0,0,0,0,Lightweight,KO/TKO,Punch,1,0:07
UFC 263: Adesanya vs. Vettori 2,6/12/2021,"Glendale, Arizona, USA",Steven Peterson,Chase Hooper,win,0,0,49,31,1,3,2,2,Featherweight,U-DEC,,3,5:00
UFC 263: Adesanya vs. Vettori 2,6/12/2021,"Glendale, Arizona, USA",Fares Ziam,Luigi Vendramini,win,0,0,39,34,0,1,0,0,Lightweight,M-DEC,,3,5:00
UFC 263: Adesanya vs. Vettori 2,6/12/2021,"Glendale, Arizona, USA",Carlos Felipe,Jake Collier,win,0,0,94,130,0,0,0,0,Heavyweight,S-DEC,,3,5:00
UFC Fight Night: Rozenstruik vs. Sakai,6/5/2021,"Las Vegas, Nevada, USA",Jairzinho Rozenstruik,Augusto Sakai,win,1,0,16,3,0,0,0,0,Heavyweight,KO/TKO,Punches,1,4:59
UFC Fight Night: Rozenstruik vs. Sakai,6/5/2021,"Las Vegas, Nevada, USA",Marcin Tybura,Walt Harris,win,0,0,4,23,1,0,0,0,Heavyweight,KO/TKO,Punches,1,4:06
UFC Fight Night: Rozenstruik vs. Sakai,6/5/2021,"Las Vegas, Nevada, USA",Roman Dolidze,Laureano Staropoli,win,0,0,14,9,5,3,0,0,Middleweight,U-DEC,,3,5:00
UFC Fight Night: Rozenstruik vs. Sakai,6/5/2021,"Las Vegas, Nevada, USA",Santiago Ponzinibbio,Miguel Baeza,win,0,0,121,104,0,0,0,0,Welterweight,U-DEC,,3,5:00
UFC Fight Night: Rozenstruik vs. Sakai,6/5/2021,"Las Vegas, Nevada, USA",Gregory Rodrigues,Dusko Todorovic,win,0,0,71,37,3,0,0,0,Middleweight,U-DEC,,3,5:00
UFC Fight Night: Rozenstruik vs. Sakai,6/5/2021,"Las Vegas, Nevada, USA",Montana De La Rosa,Ariane Lipski,win,0,0,29,11,2,0,0,0,Women's Flyweight,KO/TKO,Punches,2,4:27
UFC Fight Night: Rozenstruik vs. Sakai,6/5/2021,"Las Vegas, Nevada, USA",Ilir Latifi,Tanner Boser,win,0,0,10,45,2,0,0,0,Heavyweight,S-DEC,,3,5:00
UFC Fight Night: Rozenstruik vs. Sakai,6/5/2021,"Las Vegas, Nevada, USA",Muslim Salikhov,Francisco Trinaldo,win,1,0,62,39,2,0,0,0,Welterweight,U-DEC,,3,5:00
UFC Fight Night: Rozenstruik vs. Sakai,6/5/2021,"Las Vegas, Nevada, USA",Kamuela Kirk,Makwan Amirkhani,win,0,0,28,20,0,5,3,0,Featherweight,U-DEC,,3,5:00
UFC Fight Night: Rozenstruik vs. Sakai,6/5/2021,"Las Vegas, Nevada, USA",Manon Fiorot,Tabatha Ricci,win,1,0,84,17,1,0,0,0,Women's Flyweight,KO/TKO,Punches,2,3:00
UFC Fight Night: Rozenstruik vs. Sakai,6/5/2021,"Las Vegas, Nevada, USA",Sean Woodson,Youssef Zalal,win,0,0,40,42,0,2,2,0,Featherweight,S-DEC,,3,5:00
UFC Fight Night: Rozenstruik vs. Sakai,6/5/2021,"Las Vegas, Nevada, USA",Claudio Puelles,Jordan Leavitt,win,0,0,20,21,4,2,0,0,Lightweight,U-DEC,,3,5:00
UFC Fight Night: Font vs. Garbrandt,5/22/2021,"Las Vegas, Nevada, USA",Rob Font,Cody Garbrandt,win,0,0,176,63,2,3,0,0,Bantamweight,U-DEC,,5,5:00
UFC Fight Night: Font vs. Garbrandt,5/22/2021,"Las Vegas, Nevada, USA",Carla Esparza,Yan Xiaonan,win,0,0,27,5,3,0,0,0,Women's Strawweight,KO/TKO,Punches,2,2:58
UFC Fight Night: Font vs. Garbrandt,5/22/2021,"Las Vegas, Nevada, USA",Jared Vanderaa,Justin Tafa,win,0,0,121,74,0,0,0,0,Heavyweight,U-DEC,,3,5:00
UFC Fight Night: Font vs. Garbrandt,5/22/2021,"Las Vegas, Nevada, USA",Norma Dumont,Felicia Spencer,win,0,0,68,47,1,0,0,0,Women's Featherweight,S-DEC,,3,5:00
UFC Fight Night: Font vs. Garbrandt,5/22/2021,"Las Vegas, Nevada, USA",Ricardo Ramos,Bill Algeo,win,0,0,53,76,8,0,1,0,Featherweight,U-DEC,,3,5:00
UFC Fight Night: Font vs. Garbrandt,5/22/2021,"Las Vegas, Nevada, USA",Jack Hermansson,Edmen Shahbazyan,win,0,0,55,40,3,0,0,1,Middleweight,U-DEC,,3,5:00
UFC Fight Night: Font vs. Garbrandt,5/22/2021,"Las Vegas, Nevada, USA",Ben Rothwell,Chris Barnett,win,0,0,60,33,1,0,2,0,Heavyweight,SUB,Guillotine Choke,2,2:07
UFC Fight Night: Font vs. Garbrandt,5/22/2021,"Las Vegas, Nevada, USA",Court McGee,Claudio Silva,win,0,0,37,21,3,1,1,0,Welterweight,U-DEC,,3,5:00
UFC Fight Night: Font vs. Garbrandt,5/22/2021,"Las Vegas, Nevada, USA",Bruno Silva,Victor Rodriguez,win,1,0,6,0,0,0,0,0,Flyweight,KO/TKO,Punch,1,1:00
UFC Fight Night: Font vs. Garbrandt,5/22/2021,"Las Vegas, Nevada, USA",Josh Culibao,Shayilan Nuerdanbieke,win,0,0,53,17,0,2,1,0,Featherweight,U-DEC,,3,5:00
UFC Fight Night: Font vs. Garbrandt,5/22/2021,"Las Vegas, Nevada, USA",David Dvorak,Juancamilo Ronderos,win,0,0,9,11,0,0,1,0,Flyweight,SUB,Rear Naked Choke,1,2:18
UFC Fight Night: Font vs. Garbrandt,5/22/2021,"Las Vegas, Nevada, USA",Damir Ismagulov,Rafael Alves,win,0,1,56,30,2,0,0,1,Lightweight,U-DEC,,3,5:00
UFC 262: Oliveira vs. Chandler,5/15/2021,"Houston, Texas, USA",Charles Oliveira,Michael Chandler,win,2,0,24,30,1,0,0,1,Lightweight,KO/TKO,Punch,2,0:19
UFC 262: Oliveira vs. Chandler,5/15/2021,"Houston, Texas, USA",Beneil Dariush,Tony Ferguson,win,0,0,23,15,3,0,1,1,Lightweight,U-DEC,,3,5:00
UFC 262: Oliveira vs. Chandler,5/15/2021,"Houston, Texas, USA",Katlyn Cerminara,Viviane Araujo,win,0,0,127,89,0,1,0,1,Women's Flyweight,U-DEC,,3,5:00
UFC 262: Oliveira vs. Chandler,5/15/2021,"Houston, Texas, USA",Edson Barboza,Shane Burgos,win,1,0,98,80,0,0,0,0,Featherweight,KO/TKO,Punch,3,1:16
UFC 262: Oliveira vs. Chandler,5/15/2021,"Houston, Texas, USA",Andre Muniz,Jacare Souza,win,0,0,7,11,2,1,1,0,Middleweight,SUB,Armbar,1,3:59
UFC 262: Oliveira vs. Chandler,5/15/2021,"Houston, Texas, USA",Lando Vannata,Mike Grundy,win,0,0,80,32,1,3,0,0,Featherweight,S-DEC,,3,5:00
UFC 262: Oliveira vs. Chandler,5/15/2021,"Houston, Texas, USA",Jordan Wright,Jamie Pickett,win,1,0,26,4,0,0,0,0,Middleweight,KO/TKO,Knee,1,1:04
UFC 262: Oliveira vs. Chandler,5/15/2021,"Houston, Texas, USA",Andrea Lee,Antonina Shevchenko,win,0,0,45,23,3,0,3,0,Women's Flyweight,SUB,Triangle Armbar,2,4:52
UFC 262: Oliveira vs. Chandler,5/15/2021,"Houston, Texas, USA",Priscila Cachoeira,Gina Mazany,win,0,0,36,33,0,4,0,0,Women's Flyweight,KO/TKO,Punches,2,4:51
UFC 262: Oliveira vs. Chandler,5/15/2021,"Houston, Texas, USA",Tucker Lutz,Kevin Aguilar,win,0,0,99,81,3,0,0,0,Featherweight,U-DEC,,3,5:00
UFC 262: Oliveira vs. Chandler,5/15/2021,"Houston, Texas, USA",Christos Giagos,Sean Soriano,win,0,0,22,33,3,0,1,0,Lightweight,SUB,D'Arce Choke,2,0:59
UFC Fight Night: Rodriguez vs. Waterson,5/8/2021,"Las Vegas, Nevada, USA",Marina Rodriguez,Michelle Waterson-Gomez,win,0,0,125,88,0,1,0,0,Women's Flyweight,U-DEC,,5,5:00
UFC Fight Night: Rodriguez vs. Waterson,5/8/2021,"Las Vegas, Nevada, USA",Alex Morono,Donald Cerrone,win,0,0,35,17,0,0,0,0,Welterweight,KO/TKO,Punches,1,4:40
UFC Fight Night: Rodriguez vs. Waterson,5/8/2021,"Las Vegas, Nevada, USA",Neil Magny,Geoff Neal,win,0,0,55,35,2,1,0,0,Welterweight,U-DEC,,3,5:00
UFC Fight Night: Rodriguez vs. Waterson,5/8/2021,"Las Vegas, Nevada, USA",Marcos Rogerio de Lima,Maurice Greene,win,0,0,14,5,3,0,0,0,Heavyweight,U-DEC,,3,5:00
UFC Fight Night: Rodriguez vs. Waterson,5/8/2021,"Las Vegas, Nevada, USA",Gregor Gillespie,Diego Ferreira,win,0,0,45,31,4,0,0,0,Lightweight,KO/TKO,Punches,2,4:51
UFC Fight Night: Rodriguez vs. Waterson,5/8/2021,"Las Vegas, Nevada, USA",Phil Hawes,Kyle Daukaus,win,0,0,66,28,2,0,1,0,Middleweight,U-DEC,,3,5:00
UFC Fight Night: Rodriguez vs. Waterson,5/8/2021,"Las Vegas, Nevada, USA",Michael Trizano,Ludovit Klein,win,0,0,56,45,0,4,1,0,Featherweight,U-DEC,,3,5:00
UFC Fight Night: Rodriguez vs. Waterson,5/8/2021,"Las Vegas, Nevada, USA",JunYong Park,Tafon Nchukwi,win,0,0,71,58,2,1,2,0,Middleweight,M-DEC,,3,5:00
UFC Fight Night: Rodriguez vs. Waterson,5/8/2021,"Las Vegas, Nevada, USA",Carlston Harris,Christian Aguilera,win,0,0,5,1,0,0,1,0,Welterweight,SUB,Anaconda Choke,1,2:52
UFC Fight Night: Reyes vs. Prochazka,5/1/2021,"Las Vegas, Nevada, USA",Jiri Prochazka,Dominick Reyes,win,1,0,77,63,1,1,0,1,Light Heavyweight,KO/TKO,Spinning Back Elbow,2,4:29
UFC Fight Night: Reyes vs. Prochazka,5/1/2021,"Las Vegas, Nevada, USA",Giga Chikadze,Cub Swanson,win,1,0,12,4,0,0,0,0,Featherweight,KO/TKO,Kick,1,1:03
UFC Fight Night: Reyes vs. Prochazka,5/1/2021,"Las Vegas, Nevada, USA",Sean Strickland,Krzysztof Jotko,win,0,0,84,37,0,0,0,0,Middleweight,U-DEC,,3,5:00
UFC Fight Night: Reyes vs. Prochazka,5/1/2021,"Las Vegas, Nevada, USA",Merab Dvalishvili,Cody Stamann,win,0,0,71,48,5,1,1,0,Bantamweight,U-DEC,,3,5:00
UFC Fight Night: Reyes vs. Prochazka,5/1/2021,"Las Vegas, Nevada, USA",Luana Pinheiro,Randa Markos,win,0,0,29,18,5,0,0,0,Women's Strawweight,DQ,,1,4:16
UFC Fight Night: Reyes vs. Prochazka,5/1/2021,"Las Vegas, Nevada, USA",TJ Brown,Kai Kamaka,win,0,1,82,61,2,1,1,0,Featherweight,S-DEC,,3,5:00
UFC Fight Night: Reyes vs. Prochazka,5/1/2021,"Las Vegas, Nevada, USA",Luana Carolina,Poliana Botelho,win,0,0,25,34,0,1,0,0,Women's Flyweight,S-DEC,,3,5:00
UFC Fight Night: Reyes vs. Prochazka,5/1/2021,"Las Vegas, Nevada, USA",Loma Lookboonmee,Sam Hughes,win,0,0,84,49,4,0,0,0,Women's Strawweight,U-DEC,,3,5:00
UFC Fight Night: Reyes vs. Prochazka,5/1/2021,"Las Vegas, Nevada, USA",Andreas Michailidis,KB Bhullar,win,0,0,73,70,1,0,0,0,Middleweight,U-DEC,,3,5:00
UFC Fight Night: Reyes vs. Prochazka,5/1/2021,"Las Vegas, Nevada, USA",Felipe Colares,Luke Sanders,win,0,1,78,118,2,2,0,0,Featherweight,U-DEC,,3,5:00
UFC Fight Night: Reyes vs. Prochazka,5/1/2021,"Las Vegas, Nevada, USA",Ion Cutelaba,Dustin Jacoby,draw,0,0,71,84,9,1,0,0,Light Heavyweight,S-DEC,,3,5:00
UFC 261: Usman vs. Masvidal 2,4/24/2021,"Jacksonville, Florida, USA",Kamaru Usman,Jorge Masvidal,win,1,0,21,31,2,0,0,0,Welterweight,KO/TKO,Punch,2,1:02
UFC 261: Usman vs. Masvidal 2,4/24/2021,"Jacksonville, Florida, USA",Rose Namajunas,Zhang Weili,win,1,0,5,7,0,0,0,0,Women's Strawweight,KO/TKO,Kick,1,1:18
UFC 261: Usman vs. Masvidal 2,4/24/2021,"Jacksonville, Florida, USA",Valentina Shevchenko,Jessica Andrade,win,0,0,32,10,7,0,1,0,Women's Flyweight,KO/TKO,Elbows,2,3:19
UFC 261: Usman vs. Masvidal 2,4/24/2021,"Jacksonville, Florida, USA",Uriah Hall,Chris Weidman,win,0,0,0,1,0,0,0,0,Middleweight,KO/TKO,,1,0:17
UFC 261: Usman vs. Masvidal 2,4/24/2021,"Jacksonville, Florida, USA",Anthony Smith,Jimmy Crute,win,0,0,26,18,0,3,0,0,Light Heavyweight,KO/TKO,,1,5:00
UFC 261: Usman vs. Masvidal 2,4/24/2021,"Jacksonville, Florida, USA",Randy Brown,Alex Oliveira,win,1,0,16,7,0,0,1,0,Welterweight,SUB,Rear Naked Choke,1,2:50
UFC 261: Usman vs. Masvidal 2,4/24/2021,"Jacksonville, Florida, USA",Dwight Grant,Stefan Sekulic,win,0,0,49,33,1,3,0,1,Welterweight,S-DEC,,3,5:00
UFC 261: Usman vs. Masvidal 2,4/24/2021,"Jacksonville, Florida, USA",Brendan Allen,Karl Roberson,win,0,0,9,6,2,0,1,0,Middleweight,SUB,Ankle Lock,1,4:55
UFC 261: Usman vs. Masvidal 2,4/24/2021,"Jacksonville, Florida, USA",Pat Sabatini,Tristan Connelly,win,1,0,26,19,1,1,1,0,Featherweight,U-DEC,,3,5:00
UFC 261: Usman vs. Masvidal 2,4/24/2021,"Jacksonville, Florida, USA",Batgerel Danaa,Kevin Natividad,win,1,0,7,3,0,0,0,0,Bantamweight,KO/TKO,Punch,1,0:50
UFC 261: Usman vs. Masvidal 2,4/24/2021,"Jacksonville, Florida, USA",Kazula Vargas,Rongzhu,win,0,0,96,42,0,3,1,0,Lightweight,U-DEC,,3,5:00
UFC 261: Usman vs. Masvidal 2,4/24/2021,"Jacksonville, Florida, USA",Jeff Molina,Aoriqileng,win,2,0,189,116,0,3,0,0,Flyweight,U-DEC,,3,5:00
UFC 261: Usman vs. Masvidal 2,4/24/2021,"Jacksonville, Florida, USA",Ariane Carnelossi,Liang Na,win,0,0,24,19,0,3,0,1,Women's Strawweight,KO/TKO,Punches,2,1:28
UFC Fight Night: Whittaker vs. Gastelum,4/17/2021,"Las Vegas, Nevada, USA",Robert Whittaker,Kelvin Gastelum,win,0,0,150,62,4,1,0,0,Middleweight,U-DEC,,5,5:00
UFC Fight Night: Whittaker vs. Gastelum,4/17/2021,"Las Vegas, Nevada, USA",Andrei Arlovski,Chase Sherman,win,0,0,105,88,0,0,0,0,Heavyweight,U-DEC,,3,5:00
UFC Fight Night: Whittaker vs. Gastelum,4/17/2021,"Las Vegas, Nevada, USA",Jacob Malkoun,Abdul Razak Alhassan,win,0,0,27,21,8,0,2,0,Middleweight,U-DEC,,3,5:00
UFC Fight Night: Whittaker vs. Gastelum,4/17/2021,"Las Vegas, Nevada, USA",Tracy Cortez,Justine Kish,win,0,1,66,55,3,0,1,0,Women's Flyweight,S-DEC,,3,5:00
UFC Fight Night: Whittaker vs. Gastelum,4/17/2021,"Las Vegas, Nevada, USA",Luis Pena,Alexander Munoz,win,0,0,90,80,0,4,0,0,Lightweight,S-DEC,,3,5:00
UFC Fight Night: Whittaker vs. Gastelum,4/17/2021,"Las Vegas, Nevada, USA",Alexandr Romanov,Juan Espino,win,0,0,32,12,2,4,0,0,Heavyweight,S-DEC,,3,1:05
UFC Fight Night: Whittaker vs. Gastelum,4/17/2021,"Las Vegas, Nevada, USA",Jessica Penne,Loopy Godinez,win,0,0,31,40,1,3,0,0,Women's Strawweight,S-DEC,,3,5:00
UFC Fight Night: Whittaker vs. Gastelum,4/17/2021,"Las Vegas, Nevada, USA",Gerald Meerschaert,Bartosz Fabinski,win,0,0,8,6,0,1,1,0,Middleweight,SUB,Guillotine Choke,1,2:00
UFC Fight Night: Whittaker vs. Gastelum,4/17/2021,"Las Vegas, Nevada, USA",Austin Hubbard,Dakota Bush,win,0,0,67,41,1,1,0,0,Lightweight,U-DEC,,3,5:00
UFC Fight Night: Whittaker vs. Gastelum,4/17/2021,"Las Vegas, Nevada, USA",Tony Gravely,Anthony Birchak,win,2,0,39,18,4,0,0,1,Bantamweight,KO/TKO,Punch,2,1:31
UFC Fight Night: Vettori vs. Holland,4/10/2021,"Las Vegas, Nevada, USA",Marvin Vettori,Kevin Holland,win,0,0,24,37,11,0,1,0,Middleweight,U-DEC,,5,5:00
UFC Fight Night: Vettori vs. Holland,4/10/2021,"Las Vegas, Nevada, USA",Arnold Allen,Sodiq Yusuff,win,1,0,21,47,2,0,0,1,Featherweight,U-DEC,,3,5:00
UFC Fight Night: Vettori vs. Holland,4/10/2021,"Las Vegas, Nevada, USA",Julian Marquez,Sam Alvey,win,1,0,61,29,0,0,1,0,Middleweight,SUB,Rear Naked Choke,2,2:07
UFC Fight Night: Vettori vs. Holland,4/10/2021,"Las Vegas, Nevada, USA",Mackenzie Dern,Nina Nunes,win,0,0,12,4,1,0,1,0,Women's Strawweight,SUB,Armbar,1,4:48
UFC Fight Night: Vettori vs. Holland,4/10/2021,"Las Vegas, Nevada, USA",Daniel Rodriguez,Mike Perry,win,0,0,129,61,0,2,0,0,Welterweight,U-DEC,,3,5:00
UFC Fight Night: Vettori vs. Holland,4/10/2021,"Las Vegas, Nevada, USA",Joe Solecki,Jim Miller,win,0,0,19,11,1,0,0,0,Lightweight,U-DEC,,3,5:00
UFC Fight Night: Vettori vs. Holland,4/10/2021,"Las Vegas, Nevada, USA",Mateusz Gamrot,Scott Holtzman,win,1,0,39,10,2,0,0,0,Lightweight,KO/TKO,Punches,2,1:22
UFC Fight Night: Vettori vs. Holland,4/10/2021,"Las Vegas, Nevada, USA",John Makdessi,Ignacio Bahamondes,win,0,0,124,112,0,0,0,0,Lightweight,S-DEC,,3,5:00
UFC Fight Night: Vettori vs. Holland,4/10/2021,"Las Vegas, Nevada, USA",Jarjis Danho,Yorgan De Castro,win,1,0,10,2,0,0,0,0,Heavyweight,KO/TKO,Punch,1,3:02
UFC Fight Night: Vettori vs. Holland,4/10/2021,"Las Vegas, Nevada, USA",Jack Shore,Hunter Azure,win,0,0,36,45,6,0,0,1,Bantamweight,S-DEC,,3,5:00
UFC Fight Night: Vettori vs. Holland,4/10/2021,"Las Vegas, Nevada, USA",Luis Saldana,Jordan Griffin,win,0,0,36,33,0,4,1,2,Featherweight,U-DEC,,3,5:00
UFC Fight Night: Vettori vs. Holland,4/10/2021,"Las Vegas, Nevada, USA",Da Woon Jung,William Knight,win,0,0,28,17,8,0,0,0,Light Heavyweight,U-DEC,,3,5:00
UFC Fight Night: Vettori vs. Holland,4/10/2021,"Las Vegas, Nevada, USA",Impa Kasanganay,Sasha Palatnikov,win,0,0,13,13,2,0,1,0,Welterweight,SUB,Rear Naked Choke,2,0:26
UFC 260: Miocic vs. Ngannou,3/27/2021,"Las Vegas, Nevada, USA",Francis Ngannou,Stipe Miocic,win,2,0,36,12,1,0,0,0,Heavyweight,KO/TKO,Punch,2,0:52
UFC 260: Miocic vs. Ngannou,3/27/2021,"Las Vegas, Nevada, USA",Vicente Luque,Tyron Woodley,win,0,0,25,18,0,0,1,0,Welterweight,SUB,D'Arce Choke,1,3:56
UFC 260: Miocic vs. Ngannou,3/27/2021,"Las Vegas, Nevada, USA",Sean O'Malley,Thomas Almeida,win,2,0,86,25,0,1,0,0,Bantamweight,KO/TKO,Punch,3,3:52
UFC 260: Miocic vs. Ngannou,3/27/2021,"Las Vegas, Nevada, USA",Miranda Maverick,Gillian Robertson,win,0,0,71,27,3,2,0,1,Women's Flyweight,U-DEC,,3,5:00
UFC 260: Miocic vs. Ngannou,3/27/2021,"Las Vegas, Nevada, USA",Jamie Mullarkey,Khama Worthy,win,1,0,6,5,0,0,0,0,Lightweight,KO/TKO,Punch,1,0:46
UFC 260: Miocic vs. Ngannou,3/27/2021,"Las Vegas, Nevada, USA",Alonzo Menifield,Fabio Cherant,win,0,0,3,0,1,0,1,0,Light Heavyweight,SUB,Von Flue Choke,1,1:11
UFC 260: Miocic vs. Ngannou,3/27/2021,"Las Vegas, Nevada, USA",Abubakar Nurmagomedov,Jared Gooden,win,0,0,60,43,1,0,0,0,Welterweight,U-DEC,,3,5:00
UFC 260: Miocic vs. Ngannou,3/27/2021,"Las Vegas, Nevada, USA",Michal Oleksiejczuk,Modestas Bukauskas,win,0,0,56,58,0,0,0,0,Light Heavyweight,S-DEC,,3,5:00
UFC 260: Miocic vs. Ngannou,3/27/2021,"Las Vegas, Nevada, USA",Omar Morales,Shane Young,win,0,0,69,46,2,1,0,0,Featherweight,U-DEC,,3,5:00
UFC 260: Miocic vs. Ngannou,3/27/2021,"Las Vegas, Nevada, USA",Marc-Andre Barriault,Abu Azaitar,win,1,0,141,108,0,0,0,0,Middleweight,KO/TKO,Punches,3,4:56
UFC Fight Night: Brunson vs. Holland,3/20/2021,"Las Vegas, Nevada, USA",Derek Brunson,Kevin Holland,win,0,0,43,36,6,1,1,0,Middleweight,U-DEC,,5,5:00
UFC Fight Night: Brunson vs. Holland,3/20/2021,"Las Vegas, Nevada, USA",Max Griffin,Song Kenan,win,1,0,17,14,0,0,0,0,Welterweight,KO/TKO,Punch,1,2:20
UFC Fight Night: Brunson vs. Holland,3/20/2021,"Las Vegas, Nevada, USA",Montserrat Conejo Ruiz,Cheyanne Vlismas,win,0,0,15,31,4,0,2,0,Women's Strawweight,U-DEC,,3,5:00
UFC Fight Night: Brunson vs. Holland,3/20/2021,"Las Vegas, Nevada, USA",Adrian Yanez,Gustavo Lopez,win,2,0,41,23,0,0,0,0,Bantamweight,KO/TKO,Punch,3,0:27
UFC Fight Night: Brunson vs. Holland,3/20/2021,"Las Vegas, Nevada, USA",Tai Tuivasa,Harry Hunsucker,win,1,0,14,2,0,0,0,0,Heavyweight,KO/TKO,Punches,1,0:49
UFC Fight Night: Brunson vs. Holland,3/20/2021,"Las Vegas, Nevada, USA",Macy Chiasson,Marion Reneau,win,0,0,51,30,1,2,0,0,Women's Bantamweight,U-DEC,,3,5:00
UFC Fight Night: Brunson vs. Holland,3/20/2021,"Las Vegas, Nevada, USA",Grant Dawson,Leonardo Santos,win,0,0,46,30,1,1,0,0,Lightweight,KO/TKO,Punches,3,4:59
UFC Fight Night: Brunson vs. Holland,3/20/2021,"Las Vegas, Nevada, USA",Trevin Giles,Roman Dolidze,win,0,0,27,32,1,1,1,2,Middleweight,U-DEC,,3,5:00
UFC Fight Night: Brunson vs. Holland,3/20/2021,"Las Vegas, Nevada, USA",Montel Jackson,Jesse Strader,win,2,0,15,14,0,0,0,0,Bantamweight,KO/TKO,Punch,1,1:58
UFC Fight Night: Brunson vs. Holland,3/20/2021,"Las Vegas, Nevada, USA",Bruno Silva,JP Buys,win,3,0,37,17,1,0,0,1,Flyweight,KO/TKO,Punch,2,2:56
UFC Fight Night: Edwards vs. Muhammad,3/13/2021,"Las Vegas, Nevada, USA",Ryan Spann,Misha Cirkunov,win,1,0,16,5,0,0,0,0,Light Heavyweight,KO/TKO,Punches,1,1:11
UFC Fight Night: Edwards vs. Muhammad,3/13/2021,"Las Vegas, Nevada, USA",Dan Ige,Gavin Tucker,win,1,0,1,1,0,0,0,0,Featherweight,KO/TKO,Punch,1,0:22
UFC Fight Night: Edwards vs. Muhammad,3/13/2021,"Las Vegas, Nevada, USA",Davey Grant,Jonathan Martinez,win,1,1,48,29,0,0,0,0,Bantamweight,KO/TKO,Punch,2,3:03
UFC Fight Night: Edwards vs. Muhammad,3/13/2021,"Las Vegas, Nevada, USA",Matheus Nicolau,Manel Kape,win,0,0,55,61,2,0,1,0,Flyweight,S-DEC,,3,5:00
UFC Fight Night: Edwards vs. Muhammad,3/13/2021,"Las Vegas, Nevada, USA",Angela Hill,Ashley Yoder,win,0,0,77,34,1,2,0,0,Women's Strawweight,U-DEC,,3,5:00
UFC Fight Night: Edwards vs. Muhammad,3/13/2021,"Las Vegas, Nevada, USA",Charles Jourdain,Marcelo Rojo,win,2,0,106,74,0,1,0,0,Featherweight,KO/TKO,Punch,3,4:31
UFC Fight Night: Edwards vs. Muhammad,3/13/2021,"Las Vegas, Nevada, USA",Rani Yahya,Ray Rodriguez,win,0,0,8,3,2,0,1,0,Bantamweight,SUB,Arm Triangle,2,3:09
UFC Fight Night: Edwards vs. Muhammad,3/13/2021,"Las Vegas, Nevada, USA",Nasrat Haqparast,Rafa Garcia,win,0,0,99,52,0,0,0,0,Lightweight,U-DEC,,3,5:00
UFC Fight Night: Edwards vs. Muhammad,3/13/2021,"Las Vegas, Nevada, USA",JJ Aldrich,Cortney Casey,win,0,0,45,55,4,0,0,0,Women's Flyweight,S-DEC,,3,5:00
UFC Fight Night: Edwards vs. Muhammad,3/13/2021,"Las Vegas, Nevada, USA",Jinh Yu Frey,Gloria de Paula,win,0,0,24,31,2,0,2,0,Women's Strawweight,U-DEC,,3,5:00
UFC Fight Night: Edwards vs. Muhammad,3/13/2021,"Las Vegas, Nevada, USA",Matthew Semelsberger,Jason Witt,win,1,0,3,4,0,0,0,0,Welterweight,KO/TKO,Punch,1,0:16
UFC 259: Blachowicz vs. Adesanya,3/6/2021,"Las Vegas, Nevada, USA",Jan Blachowicz,Israel Adesanya,win,0,0,107,78,3,0,0,0,Light Heavyweight,U-DEC,,5,5:00
UFC 259: Blachowicz vs. Adesanya,3/6/2021,"Las Vegas, Nevada, USA",Amanda Nunes,Megan Anderson,win,0,0,18,2,0,0,2,0,Women's Featherweight,SUB,Triangle Armbar,1,2:03
UFC 259: Blachowicz vs. Adesanya,3/6/2021,"Las Vegas, Nevada, USA",Aljamain Sterling,Petr Yan,win,0,1,97,86,1,7,0,0,Bantamweight,DQ,,4,4:29
UFC 259: Blachowicz vs. Adesanya,3/6/2021,"Las Vegas, Nevada, USA",Islam Makhachev,Drew Dober,win,0,0,15,10,3,0,2,0,Lightweight,SUB,Arm Triangle,3,1:37
UFC 259: Blachowicz vs. Adesanya,3/6/2021,"Las Vegas, Nevada, USA",Aleksandar Rakic,Thiago Santos,win,0,0,36,49,0,0,0,0,Light Heavyweight,U-DEC,,3,5:00
UFC 259: Blachowicz vs. Adesanya,3/6/2021,"Las Vegas, Nevada, USA",Dominick Cruz,Casey Kenney,win,0,0,89,74,2,0,0,0,Bantamweight,S-DEC,,3,5:00
UFC 259: Blachowicz vs. Adesanya,3/6/2021,"Las Vegas, Nevada, USA",Kyler Phillips,Song Yadong,win,0,0,59,67,3,0,0,0,Bantamweight,U-DEC,,3,5:00
UFC 259: Blachowicz vs. Adesanya,3/6/2021,"Las Vegas, Nevada, USA",Askar Askarov,Joseph Benavidez,win,0,0,58,46,5,0,0,0,Flyweight,U-DEC,,3,5:00
UFC 259: Blachowicz vs. Adesanya,3/6/2021,"Las Vegas, Nevada, USA",Kai Kara-France,Rogerio Bontorin,win,1,0,13,6,0,1,0,2,Flyweight,KO/TKO,Punch,1,4:55
